raw_pattern,count
S93Y L137V R470I R486Q K886N R914*,1
D198Y D119G,1
K288N E214*,1
R2521Q E742*,1
A15T C206C,1
E143E R407Q R439C,1
T1469T E1246K Q610Q,1
R3C H96Q A220V,1
R236* R273M K406T S446S I481I R650W V924V R1063Q S1227Y,1
K102T K140N Q504H E571K,1
S143L E183V S244L,1
E128K G198S,1
S1281L D757N Y477Y L98F,1
R982C S726Y E177K,1
A81D D741D,1
R354W S285Y Q228H,1
R131* L172I M406V,1
R159Q K546K D831Y R1093I F2373C E2449*,1
F2088S K1777N R1717* E1636* S1551L F1040L F753L E534* T312A,1
S317Y N53H,1
S930Y F1169F K1637N P2749S,1
V656G V964A,1
A35T K164N,1
D963N Y1206D S1407F,1
E164K K270N,1
R153Q E88K,1
E385K D80N,1
L200M I242M E290K,1
S1565* E640* P156P,1
R718Q F527L L325F L278F,1
D647N S479Y L249I,1
Q280Q R661W,1
E1079D H518N,1
R395W S313Y,1
E186K S315S,1
E48* E277*,1
I571I R388C,1
E1035* L257F,1
S1579S E1467D P1370P D340N,1
R1963R F668F,1
E188* E337*,1
D164Y D125Y,1
N640T L701L,1
L134M L404I,1
E446* R867*,1
E283* N417S E694D,1
K496N K686T,1
E657* R438* N310T,1
A192V K304T,1
S294Y R206W,1
L702I L447I,1
S447Y R66W,1
K136I R214* E989E,1
I91I T548A,1
E692D E744* L1131L,1
A987V L1279I,1
L839I F585F,1
L461L L271F,1
F333F D513D,1
R93Q Q414K T845T,1
S481L E128* E33K,1
S310S F405L,1
S425L F217L,1
A222V F166F,1
K284T R410Q,1
R746Q R731Q R553W,1
E427K Q180K,1
E793* K47N E29K,1
S297L I214I,1
R494* S86Y,1
K252T E67*,1
E168* K400N L502I Q655H R702* R771I,1
D2182N S1829L F1330F R983K S928L Q864H K109T,1
H273H E250*,1
R540H E63*,1
D830N S619Y S256Y,1
R290Q F216L,1
K408N L15W,1
R468C E536* R921Q E1181K,1
R958C V734V R187*,1
E169* N209T V325L,1
S2265S E2047K A122T,1
E57D E1656* V1799M,1
D1618D R1070W V1029V D606Y,1
R3W V36V,1
R1058* E1682*,1
S215* P238P,1
K327N R1536Q,1
S635S L11I,1
A254V E85E,1
M201I I266M P304L,1
E1746* R1726C,1
R530C F212V E145K,1
F350C R1019Q,1
E30D D60N,1
L229I S124P,1
T709A K653N R652Q P449S,1
R214Q Q1228H K1513N,1
L507V S2157P L2735I,1
A736T E632* R541I G317*,1
E1119K A130A,1
R854Q R1339I,1
I86I G510G,1
A1153T R1922H,1
R569W S241L,1
D732N E517D,1
E277D E245K,1
S73L E332*,1
Y4119Y P4118H E3691K E2329K K1232T K1025Q,1
E50E T217A,1
E553* F664F K1384R,1
L89L E226K,1
R399Q R126Q,1
K280N N335N G439E,1
I196I F313F,1
E102E S216A,1
F1026L E214K,1
R428W F467V E640K,1
I30T F186F,1
S1351I E1304* R681Q,1
Y226H R264* R669C K704N,1
L14L S142Y,1
F165C Y537C,1
V733V V669M E128K,1
D389Y N250N E16*,1
R346Q R487Q,1
R360W P734P I1271I E1375K,1
T448T R3830H,1
S348A G600G,1
R306H P954T,1
K390T E635E D849N S2184L,1
G50* R109W D328Y K520T,1
P962P F931F R508C P341S,1
R1705Q K222N,1
A485V I630I,1
R358Q A296T N198H,1
R1103Q E155K,1
R522C S171L,1
E822E C655C R510C E319K,1
S1317Y D1109N,1
E277K R187H P148P,1
D373N S155R,1
R745Q A2452T,1
R84* E648* E772* S971Y C1168C D2085N D2403N L2564I C2683C G3006D,1
A534T A316D,1
I462I S1407L,1
E925D A2566V,1
G486D K806E,1
E1221D T991T L440M,1
A1676T V126V,1
A1703V A1125V D1085Y E873K T450T R250Q,1
K1563N K1332N R1051C A976V,1
F1576F R700W R273H,1
F799L E557A E65K,1
R550Q E573K,1
I195I R408Q E672*,1
A590V R1080*,1
R2964W D1794Y E1374K,1
R140Q R289Q,1
T222T N257T,1
L16F D315N,1
S1239* M540I V140I,1
D508N Q295K L85L,1
K50T E948D,1
S34S E450D,1
S325I D123N,1
D323Y A86A,1
S22S R405Q,1
E1071K R518I,1
D756Y P614P E374K,1
A919A V652V L161S,1
S1463Y K1385N F882L K587N E503D R285Q,1
L130M E712K V791V Q992* R2068* V2966V R3227C F3419F V4042V,1
A140T R2028Q S3751S,1
S63S S227Y I519M,1
N167K E123K,1
I365I N61K,1
D313G E768D,1
E143D R71Q,1
D2249N Y1960H R1324M R245I,1
A237S D295E,1
K113N K154N,1
I1978I D1853Y L1812V T1520A F1451F N1238K,1
R1579Q R461R,1
D533N F1795F,1
E203* K33N,1
S318A G201G,1
E120* H440R,1
S1011Y K1464Q,1
E1365K R637H,1
C264R V306V A531V,1
D362Y F515C V978V,1
R216R C106*,1
F481L F469V D272Y,1
G302G L450I,1
A342T F253F,1
E113* D12A,1
T218I K43T,1
E476* R328Q,1
E61E F405F,1
G30D I226S,1
R453W T174T,1
E829* S889Y,1
R571L E319*,1
H1650H K1473T R1226C,1
K455N R552H D654N,1
E171* Q90H,1
S211F P558P L721F,1
R641I L695I,1
R739Q K908N,1
R61R D633Y,1
I4070V R3240Q Y2650C E2621D I2523L V2330A N2257T E2118E E2001K E1309*,1
R10Q D14Y M116I E158K,1
R88Q Y1021C,1
P366S V358A,1
R341W S80*,1
D103A E183* R393I E1451A,1
A1394A Q960H L72L R50W,1
R25Q F147L,1
R932H D949Y,1
S337Y E46*,1
F506L P846P,1
T671T R628Q,1
K437N Q729P E789K E1017*,1
I2199I R1826W L1235I V411L,1
R2518Q R860Q,1
E67D R170Q,1
S412S L532V,1
E728K P1234P,1
D422N F689C,1
R1898C R1863I A1387A V115I,1
E1145K K84T,1
I225V L315I,1
F140F F63F,1
F240F I463I,1
R53C Y450H,1
K953T D638Y D614N,1
R260Q D18D,1
D348D R56C,1
S78L Q233Q,1
R753* M169I,1
P1167P V1033V,1
R60C E134D L563I,1
I918M K454T R156Q,1
R180Q R91I,1
E251K E210*,1
S179L R83W,1
D2423Y G1752E E1487K E187*,1
P1585T R1651R,1
K1214K E1323*,1
R145* F126V,1
Y2169Y E858* E69*,1
S811S A841T,1
F1345C P903H,1
L36R E13A,1
F490C S431L,1
D1755N E697K S395S,1
Y957Y S1105Y,1
C140C R151Q G287S E431D,1
S205A E1027K,1
E1244* R1178Q E132K,1
T1506T F1770L R1842C,1
D163Y E118D,1
A410T E818K,1
D256Y F598L,1
T1142T E828K K707T E639*,1
R194Q E156D,1
F302F F255F F215L S5S,1
T1134T N554T E506*,1
K1245Q M673I K310T,1
R739H E447K,1
S242S R159C,1
D82Y L658P,1
R121* E415*,1
F343S P266S I243I Y136Y,1
R388Q G51C,1
E413D A874D,1
F424F F1109F,1
V204V I439I,1
K444T R461Q,1
R587Q D712N,1
R127I E169* R234I E759K Q914Q E957K E981K D1505Y E1568D E2253*,1
R2659C R2041I L1285L,1
A41V K66E,1
E453A K515E T784T,1
K472Q F438V,1
S851Y R766Q R539Q I30T,1
A6A E25G K102N,1
V473A L333L Y255*,1
E1128* T788T F767L K486K F375F,1
D137Y D537Y,1
E170K E282*,1
K604* K2316Q,1
E1451D D1377G,1
E1258D K996Q,1
I86M R25C,1
K4T G71G,1
R228I E281K,1
P168S S285L,1
S577P S1160L,1
R324H R376Q R572*,1
S1735Y D1608N F1338L R209W,1
I127I D216D,1
D437N V43I,1
F133L R638R,1
T590M R227C,1
L1487I S369S R328R,1
E421K E298*,1
F128F E37K,1
R277H S317S,1
A123V R203I,1
M110I K129Q,1
A8T E163K,1
F89L E34*,1
R28Q D637N,1
E1625D A29T,1
P445P R272Q,1
K369N K180T,1
S406* T52M,1
E172E R10I,1
T163T D58N,1
R468H N236N,1
G216D F280L,1
Y94C F294L,1
R150Q K443N,1
I4259I R3998H P3699S L2658F G2208D R1780H E1435* I519I,1
E306D D432N,1
D7Y F357L R483C,1
R413W F277F,1
K72N A662T,1
R222* R278Q,1
D482N E554D,1
E530* V607V Q864Q I905L K1493T E1873D,1
D524G D578N,1
C260C S135S,1
S290L D814D,1
A41S R46C,1
W301* F115L,1
N216D D145N,1
F165L D400Y,1
P131S S202A,1
G115E S450L,1
D164Y R1065Q,1
R1264Q S1164F G746D,1
L385L I569V Q925Q,1
K158T R1043Q K1460N S1586S,1
A550V L899R S1083L,1
P1168P P1168S,1
L466I R424C,1
F1135F T1518T L23I,1
A23V G1044G,1
L2304I D1838D D1760D E248D K207Q K130T,1
F269F T26T,1
A276T R461*,1
L210S R261W,1
P1226P E666*,1
L809I E82K,1
I11I D57N,1
Y1127C A987T,1
S319Y I621I G725G,1
F134L R344W,1
Q3577H K2129N D1888Y Q1697P R1577* G1526G E1082D R889Q,1
L493R G596*,1
I784I D568N R541*,1
F288L R533H,1
S442S S359Y A313D,1
N300H L45F,1
Q102Q R385*,1
E71G D56Y,1
A2754S V2950V I3351I F3675C F4624F,1
E372G E181* K34Q,1
F107F R342Q,1
A558A R400I,1
P877Q R43I,1
F1112L L428L F422L,1
R1570R D1234G N647H E606*,1
R1879C T752A,1
R1031* S848S D445N F55C,1
K133N E566*,1
D114Y T118T L945R,1
Q729R S944S,1
E394D R315C,1
M2098I E1904E L1566M R766I S577Y,1
F251F F259L,1
E589* R196W V142V,1
R338Q R477Q R1219C,1
A335A D96G R73H,1
F100V V272I,1
R181I R179Q I100T,1
D920Y S846S,1
D1089N E1211K,1
R527R Y319C,1
G43S R152C,1
S1214S R501I,1
E369* R224Q,1
V1891I N1793D R999H,1
G2668G I2458T R516Q S322Y,1
N231K D305Y,1
K269N K475N,1
F322L S595Y,1
R899I R874I,1
D411Y F414F,1
G1834V V89V,1
I1745N V8V,1
A292V E136Q,1
T9M T9M T9M,1
H1047R H1047R H1047R,1
R115R R115R R115R,1
I196I I196I,1
I89N L101L,1
L3849L L3849L,1
E47D G807C,1
E178K D189H,1
E2252K A3757V S3938N,1
A483A M475K,1
K80K S53C,1
Q646H K645T,1
Y114C L608F,1
I67T R130E,1
I328V V878A,1
Q1215R E902* R286I,1
P920T W352F,1
F1053F W988* R967I F718C K325N,1
R1121C S1028Y R690I F434L F226L,1
L1259I E471* R365I A192T,1
V1074V A427V L256L,1
C1941C V983M R909Q R19I,1
P969S E840*,1
T181T A163D,1
V2285L P1483H,1
P226P S228N,1
G39S P40L E41G S43F P45L Y175*,1
L120L I58I,1
L1872L L585L,1
V382V Q1876H L2652L,1
I315F I315F,1
Y127C Y127C,1
A2106A A1697A R1386Q L1321L,1
T240M T240M,1
P8S P8S,1
R876* E1374*,1
E329* E340K K1951T,1
S55L F333F,1
R1164C R380Q,1
A77A P92P,1
R461* R1362*,1
R544Q R546Q,1
S944L F96F,1
F312L E265*,1
E239D R133Q,1
A157S V159A,1
R658* R13*,1
R71C M169I,1
E6385K R1592I,1
L242L R365Q E446*,1
P1232H G80E,1
H342R Y83C,1
N848T K814T,1
G4560E S1891S,1
N326H E361K,1
D158N C324C,1
Q87* R130Q K144T,1
G162D V505I,1
T126P G229E,1
R5154W S3199N,1
R19Q E439Q,1
Q611Q Q596Q,1
F8784F P7408S,1
K4K S405F,1
G460E D314N,1
G282E G1410E,1
R88Q M1043V,1
S241P R213Q,1
F1190F R1645C,1
K1405N N2610N,1
E137* E545*,1
R789* Q878H,1
S1565* I997L F884L H55N,1
L857V R223C,1
M71V L230L,1
R310C I332I R391C P1154S,1
I150I E287A,1
E281K R538Q,1
D349Y E445D,1
N43T E818K,1
S672L F815L R840Q,1
R1164* I645I,1
E141K R6Q,1
R597Q L63V,1
S7I R172I E368*,1
E993K R217H,1
N429D F923F,1
R106W S631L,1
E1062* R977Q P885P,1
E727* A670T,1
V557L R800I,1
D765Y R647Q,1
L11M F121F,1
G253G P340P E1148K,1
L1102L E616K L173L,1
R956Q T249N,1
A187A K43N,1
S226S K320K,1
K434K F551F,1
S193L E228A I336I,1
E222E R390Q,1
A151T D280N,1
P1861P V1808I L1800M F1713V A1576T F1317L E564K E532K F301F C256C S218L,1
K268T V159M,1
E195K T793A S940Y,1
V6A V346V K429N D514N K630N,1
A307A V332A,1
D830Y F996L,1
R187W R560*,1
R117K S336I,1
E73K I966I,1
E49* E456D E1879D K2017T D2218Y S2243Y S3016Y,1
G206G A268A,1
F530S D969N R1668*,1
D1085Y D864Y E580*,1
E214* E510*,1
R77W P187P,1
E392* E229K,1
V248I I135I,1
L355R R252Q,1
R55I E765*,1
E242K K144Q,1
F249L G566G,1
K216N R28H,1
R1053R A641S,1
D296Y A140D V115V,1
E114K R161H,1
E93D R349*,1
R1731C R1096H,1
E399* C285C,1
A1115T R1342W,1
F460F D179A,1
S1342S R1487Q,1
R29* G757V,1
V5212V P5192S I4965I K3872N E3722K E2699D K1854N K1450N V1413V V787G Q39H,1
R172C D737Y,1
F512F A154T,1
W335* A179A,1
S93S R320G,1
R193C R274Q,1
E136K D774G S1400L R1450* E1536* P2761L,1
F256L Q175P,1
I598N T115T,1
A378A S449S,1
T298T R332Q,1
E363D E277D,1
K1839K G2179V R2598I E3111* R4054W,1
E901K G370A,1
P355L E488*,1
E1774D E2290*,1
G983V E1048K E1282K P1332P,1
R880Q K90T,1
Q604Q Q596Q,1
E184* E159K,1
K184N K288N S470S,1
R392* F292S,1
Y657D F1018L,1
R779C A610V,1
R96C F195F,1
S290L V866V,1
K218N R113*,1
K527K R258I S219S,1
T364T S41L,1
D386N R707W,1
D126Y E1607K,1
F141F V343M,1
R784Q S390S C167W,1
E136* S291R F510L,1
H1117L R1504H,1
R1107* E972*,1
G733E D521N,1
S357Y G431S,1
G387D K90N,1
E315D Y464H,1
I249I E568*,1
K686Q F1159F E1924E K2292N,1
E720* E391K F328V,1
N181S V21A,1
V1057A R744Q F641L,1
R197C R1129Q,1
I1024I T542A L92L,1
C346R L2687I L2861I,1
R24Q R60C,1
S24S E196K,1
E730K E991K,1
R1270I A1198A E244D,1
K1153T N801S,1
K570N T471A,1
E495* E532* E625*,1
F629F D1247G S1201S,1
A2631T E2072*,1
D383N E170D,1
N2456D R1539Q H554N R516Q,1
D1865Y R814* S700L,1
I207I A301S,1
R2025H K496R,1
T1246M R1077*,1
R239K E2041K D2603N,1
I968I R806W,1
R1403Q T1380T,1
V721V D317N,1
S26S F215F,1
E175D L284I,1
D313N F81V,1
S675S A1300A S1745R,1
F1561F G162D,1
A1668V R1478W V410A S147L,1
I332M F2158C T3085A,1
E101K E363* R389I,1
S1140L S1044P R744Q,1
E117K R619W,1
R910C E210E P82P,1
A2915A R935Q D239Y,1
E689* S170S R118Q,1
R150H E204K,1
R71C E210*,1
D410D V549V,1
N81T E325K,1
R456* V793V R904I,1
F96C E388D,1
R309Q S380Y,1
K371T V881F,1
I6624I E6431K R5181* N4081H E472K,1
E489* E365A,1
K85T F549L,1
A1830V R1191*,1
T616T E432K,1
E2577K E2272* N1321H,1
A175T G89S,1
R220Q A470V,1
E619K D661N,1
L38F F124L,1
R541W H872R,1
S781Y C381C,1
N1163H A2026T G2153D,1
F313F F38F,1
R96Q D127N,1
N307H R120Q,1
F1162F A424V,1
S798F T157M,1
S317S P243P,1
H537N K454N,1
A623A D185A,1
I890I I849I,1
F1779V L1708I D1355N,1
D38N R115H E247D,1
A192V N1218H,1
R1011Q A2411A T3135A E4426* F4515L I4831I,1
R531* R328Q,1
K1081Q G978G V946V D725N,1
I284I R175C,1
K199T V478V,1
E2707K Q1334H,1
L132F F879S,1
D460N E975K,1
P2285T A2874V,1
E1524D A1870A F1903C R2433C R2628W,1
R290C S557L R669Q,1
F146F F83F,1
K139N E557*,1
L1857L R197*,1
L1735L R42*,1
R8269W L7810I R5617* E5575* V4636V E4316* D3988N A2848V K2134T Q1761H S1213F E1045D E819K,1
E835* E385K,1
F46C S241L,1
S434A F476C V2504V,1
D43N R132Q,1
L2708F I2278V A1650D S1435Y N1245H F895L R180I,1
L1158I Y2205Y,1
P188P V178V,1
R2499* F1956F R1873Q,1
L1881L Y1247C,1
N830H H937N,1
Q596Q P217S,1
A1122T S1061R M690I E327*,1
K970Q S818L,1
N222T Q167Q,1
E328* R626Q,1
E427E E613*,1
E26D V502V,1
K1379T I2838I,1
R655* G344G,1
I1564I N1090H L1053I,1
R2059* R2019Q,1
I1389S R500* R427C,1
F764L G514D V37V,1
A1778T E1585K E467K,1
K1330Q D962Y E45K,1
L426I D400Y,1
N548S C334C,1
Y83Y F116F,1
D128N L68V,1
D465N N635D,1
F5100L R5085* K1184T E1081A,1
D761Y N166N,1
S1656* N676H,1
I46L R407Q,1
R469Q P32S,1
R709W S866S,1
L503* K180Q,1
L1255V V411L,1
R469* L968L,1
S973L E1166K,1
L409L Y50C,1
E3391* S1064I A394T K186T,1
V344A R357Q V955V Y1021C,1
R329Q R58I,1
S188P R1410I,1
R300C E343*,1
D190Y F288F,1
E143D R149Q R788Q,1
G1457D R1226* I1106I E1056D S855Y E775D,1
I1379I R1398C,1
D103Y Y320C,1
I399I E349* E66G,1
R496I L755I,1
D52Y I154I,1
E864K E1088D R1948Q E2046D,1
S592Y Y362C T12P,1
S379S R658I T909T,1
R1705* T1362T,1
L7I D449D,1
S1393Y L780F,1
E514D D593Y,1
L361L A2396T R2483Q,1
K334T S295L S14S,1
E293D E145K,1
I370I F150V,1
R750W N180S E77D,1
T63T R377C E434E,1
F167F F238L,1
I326I C808C,1
K249N A432V,1
P117S R161Q,1
L306M E271*,1
D42Y E86K,1
L260L I565M L658I,1
I2340L L2243I T2211T S1376Y F1160L,1
D630D L219F I83I,1
R56H E183D,1
R344* P56P Q3Q,1
R227Q E336K I1079I S2017Y,1
F721F L509L,1
E495K S253S,1
K373N E96K,1
F677L Y333Y,1
D515N E676K,1
E410* R138C,1
N399K R43Q,1
S128T I157I,1
G28C G209G,1
R97I S1018Y I1077I,1
R312* R382H E523K S534Y E576* N1207K Q1264K E1703K,1
Q688Q M365I,1
R399* V325V T157T A18T,1
R903W T796T R745* E373* Y44H,1
S527L D332G,1
F385F I582I,1
R682* R754I,1
F1118L N840N,1
R1702* E1440* L1401I D1051N R626W,1
K233N S168Y,1
N3N R59Q L104L Q343*,1
S691I V299M,1
F280L P748H,1
R539* N795S S949Y,1
K331N F457F,1
L160M E570* I608I D720Y,1
E988* A723T,1
A1320S K299N,1
A382A L1173V,1
E54K E991K E1126* E1227*,1
R111Q R144C S642L A673T,1
R1916Q R1212I F805F F157F,1
A561T S33L,1
P383P R513C,1
A147T R369C N1090S,1
I515I R663I E1079K I1229S E1472*,1
T1125M A558V,1
P1139L K1249N E2058* L2716M K3129N I3198I,1
R1712I E2668A I2842I,1
K2984T L1601L L1048L C935* D887D,1
L149I F46F,1
E776* E1957K A2154A,1
R92* R327H,1
T74T E257D V833V R946Q,1
F49F R204I E251K V331V R472C I550I I834M,1
E792* E710K R635C E349* R278Q E178K,1
A144T K577N,1
R1518I E1544K,1
D166Y S993S,1
R171I K289N,1
E1585D R779M P521T,1
I181I D425N,1
V153V F226F,1
F4L P166T V526V D649N K851N,1
D1328N I502I E327K L222I N44S,1
R348Q P394T,1
E510* I284I,1
N29D R240H,1
L18I A95V,1
D1208Y D764N,1
V591V E451K,1
R1474* K637K F611L,1
R507I R221Q,1
R446H F562L S581F,1
F608C R295*,1
A819T R823H,1
F437F R196I,1
F100F E183*,1
A767T I830I,1
R275I D196Y,1
R834* T1337M,1
N184N R376C,1
R217R R48K,1
F284V I36L,1
E457* E505* K1007N G1248R E1442* D1855Y,1
R5085* R3982C S3262Y Q3062H V2909V K2525K S2227Y S2051Y K1824N R1666Q L1455V E1400* E137*,1
E88D S353P,1
V206M P130P,1
M279I A342S,1
E636K R79C,1
I175I T184T,1
D97Y E123* K287Q N415T K612N,1
L50I Q395H,1
E591K F52F,1
K631T R689C,1
E421D R220C S143R,1
Q80H R379Q,1
E22* E233K,1
E115* V850L A873T,1
D1494Y E1187K E776* R250Q,1
S1508L E1012D,1
E608K E591K,1
